iteration,candidate,score,avg_return,artifact_path
1,1,-91.40534973144531,-91.40534973144531,outputs/run_20260201_181116/iteration_001/candidate_01
1,2,296.1127624511719,296.1127624511719,outputs/run_20260201_181116/iteration_001/candidate_02
2,1,16.338607788085938,16.338607788085938,outputs/run_20260201_181116/iteration_002/candidate_01
2,2,-134.01727294921875,-134.01727294921875,outputs/run_20260201_181116/iteration_002/candidate_02
3,1,19.61266326904297,19.61266326904297,outputs/run_20260201_181116/iteration_003/candidate_01
